"name","address","suburb","city","postCode","phone","longitude","latitude"
"Highpoint Temptations Lotto","37 Mokoia Road","Birkenhead","Auckland","0626","09 4180906","174.7253511","-36.81210759"
"Jacob's Photo & Digital","9 Mokoia Road","Birkenhead","Auckland","0626","09 4805903","174.7261486","-36.81217582"
"New World Birkenhead","180 Mokoia Road","Chatswood","Auckland","0626","09 419 8610","174.710939","-36.811008"
"United Video Blockhouse Bay","509 Blockhouse Bay Road","Blockhouse Bay","Auckland","0600","09 626 4222","174.7015263","-36.92279881"
"Z Botany","550 Te Irirangi Road","East Tamaki","Auckland","2013","09 272 2105","174.9108842","-36.93103905"
"Mirrabooka Superette","116A Botany Road","Botany Downs","Auckland","2010","09 535 8083","174.9175022","-36.909773"
"New World Botany","588 Chapel Road","Huntington Park","Auckland","2013","09 271 1800","174.912934","-36.93120095"
"Whitcoulls Botany Downs","Ti Rakau Drive","Northpark","Auckland","2013","09 984 5408","174.9141139","-36.93059204"
"Berrymans","38 Clyde Road","Browns Bay","Auckland","0630","09 478 9464","174.748209","-36.715346"
"Countdown Browns Bay","16 Anzac Road","Browns Bay","Auckland","0630","09 2559662","174.7491139","-36.71682271"
"New World Browns Bay","2 Inverness Road","Browns Bay","Auckland","0630","09 4770296","174.747175","-36.716518"
"Phoenix Dairy","770 Beach Road","Browns Bay","Auckland","0630","09 478 2972","174.7428139","-36.71575028"
"Z Northcross","847-849 East Coast Road","Northcross","Auckland","0630","09 478 6028","174.728317","-36.709982"
"Bucklands Beach Superette","224 Bucklands Beach Road","Bucklands Beach","Auckland","2012","09 534 5820","174.9116495","-36.87976075"
"Centre Superette","4 Wharf Rd","Bucklands Beach","Auckland","2012","09 533 5994","174.903746","-36.868044"
"Countdown Highland Park","507 Pakuranga Road","Highland Park","Auckland","2010","09 255 2466","174.9085719","-36.89846399"
"Clendon New World","Roscommon Road","Clendon Park","Auckland","2103","09 266 5010","174.8677203","-37.03275867"
"Clendon Foodmarket","439 Roscommon Rd","Clendon Park","Auckland","2103","09 269 4129","174.868197","-37.031083"
"Finlayson Superette","140 Finlayson Avenue","Clendon Park","Auckland","2103","09 269 3225","174.8598317","-37.03090935"
"Clendon Postshop Lotto","457 Roscommon Road","Clendon Park","Auckland","2103","09 269 8084","174.8699373","-37.03341164"
"Clevedon Superette","16 Main Road","Clevedon","Auckland","2582","09 292 8865","175.037326","-36.9927487"
"Dawson Superette","130G Dawson Road","Clover Park","Auckland","2023","09 2747580","174.8952026","-36.9766471"
"Diorella Superette","45 Diorella Drive","Clover Park","Auckland","2023","09 263 4164","174.8896732","-36.98599442"
"Othello Superette","31 Othello Drive","Clover Park","Auckland","2023","09 274 8163","174.893447","-36.978783"
"Cockle Bay Four Square","1 Litten Road","Cockle Bay","Auckland","2014","09 534 5844","174.9391849","-36.90409019"
"Paper Plus Howick","71 Picton Street","Howick","Auckland","2014","09 5348715","174.932139","-36.8944034"
"Calliope Superette","31 Calliope Road","Devonport","Auckland","0624","09 445 6946","174.792803","-36.829144"
"Devonport New World","35 Bartley Terrace","Devonport","Auckland","0624","09 446 2024","174.7963207","-36.82951608"
"Haywards Paper Power","29 Victoria Road","Devonport","Auckland","0624","09 4453263","174.797172","-36.831121"
"Z Highbrook","88 Highbrook Drive","East Tamaki","Auckland","2013","09 279 3428","174.8725464","-36.93767619"
"Countdown Botany","Cnr Te Irirangi Rd & Ti Rakau","Golflands","Auckland","2013","09 255 2386","174.9115471","-36.92917407"
"Smile Supermarket-Highbrook","60 Highbrook Drive","East Tamaki","Auckland","2013","09 265 0246","174.876393","-36.937271"
"Z Harris Rd","142 Harris Road","East Tamaki","Auckland","2013","09 274 9614","174.896698","-36.929745"
"Symonds Lotto","208 Symonds Street","Eden Terrace","Auckland","1010","09 550 2298","174.761025","-36.86436411"
"AJ's Smile Supermarket","604 Great South Road","Ellerslie","Auckland","1051","09 526 0050","174.802793","-36.897604"
"Cardz Mags n Lotto Ellerslie","135B Main Highway","Ellerslie","Auckland","1051","09 580 2088","174.8105965","-36.8983441"
"Ellerslie Four Square","126 Main Highway","Ellerslie","Auckland","1051","09 579 5259","174.8097623","-36.89787572"
"Kornaway Dairy","92A Marua Road","Ellerslie","Auckland","1051","09 579 5105","174.822029","-36.891177"
"Caltex Epsom","378 Manukau Road","Epsom","Auckland","1023","09 638 8522","174.775016","-36.890233"
"Greenwoods Paper Power","594 Manukau Road","Epsom","Auckland","1023","09 6256683","174.7732846","-36.90017467"
"Farmcove Superette","1/190 Fisher Parade","Farm Cove","Auckland","2012","09 576 1261","174.8872384","-36.89557402"
"Concorde Superette","99 Walmsley Road","Favona","Auckland","2024","09 275 6908","174.79906","-36.952778"
"Ponderosa Superette","167 Hall Avenue","Favona","Auckland","2024","09 275 1450","174.8037534","-36.95706244"
"Botany Garden & Orchard","308 Te Irirangi Drive","Flat Bush","Auckland","2013","09 272 1168","174.901924","-36.961858"
"Botany Junction Four Square","277 Te Irirangi Drive","Flat Bush","Auckland","2016","09 273 2650","174.9019492","-36.96469418"
"Chapel Park Superette & Lotto","2 Thomas Road","Flat Bush","Auckland","2016","09 271 5171","174.9028623","-36.98098818"
"Kwik-E-Mart","152 Chapel Road","Flat Bush","Auckland","2016","09 271 1452","174.9057863","-36.96681603"
"Pak N Save Ormiston","240 Ormiston Road","Flat Bush","Auckland","2019","09 9052700","174.913519","-36.964579"
"Willowbank Superette","5/345 Chapel Road","Flat Bush","Auckland","2016","09 271 5113","174.9110547","-36.94941136"
"Xpress Mart","3/125 Ormiston Road","Flat Bush","Auckland","2016","09 948 2405","174.905471","-36.964951"
"Flatbush Supervalue","8/130 Dawson Road","East Tamaki","Auckland","2023","09 2744060","174.897037","-36.946944"
"Raines Avenue Foodmarket","16 Raines Avenue","Forrest Hill","Auckland","0620","09 410 8819","174.7466936","-36.76805712"
"Victoria Park New World","2 College Hill","Freemans Bay","Auckland","1011","09 307 8400","174.7509642","-36.84840125"
"Caltex West Coast Road","297 West Coast Road","Glen Eden","Auckland","0602","09 813 3027","174.646643","-36.908310"
"Countdown Kelston","Cnr West Coast & Great North","Glen Eden","Auckland","0602","09 255 2440","174.664057","-36.908415"
"Eden Superette & Lotto","98 Glengarry Road","Glen Eden","Auckland","0602","09 818 4155","174.6397574","-36.92143083"
"Fresh Choice Glen Eden","142 West Coast Road","Glen Eden","Auckland","0602","09 813 9030","174.654067","-36.91114119"
"Glen Eden Four Square","27 Glen Mall Place","Glen Eden","Auckland","0602","09 813 0409","174.6513383","-36.91096003"
"Kelston Digital Photos","2A West Coast Road","Glen Eden","Auckland","0602","09 818 8887","174.6639504","-36.9082405"
"Kwiki Mart Kelston","9/4055 Great North Road","Glen Eden","Auckland","0602","09 818 2860","174.6596124","-36.90468789"
"New Zeal Superette","242 West Coast Road","Glen Eden","Auckland","0602","09 818 6370","174.651627","-36.910350"
"Pop Inn Dairy","466 West Coast Road","Glen Eden","Auckland","0602","09 818 7714","174.628707","-36.908410"
"Fenchurch Superette","45 Fenchurch Street","Glen Innes","Auckland","1072","09 528 7753","174.8705384","-36.87669419"
"Glen Innes Dairy And Lotto Outlet","41 Mayfair Place","Glen Innes","Auckland","1072","09 5284345","174.8554424","-36.87822834"
"Pak N Save Glen Innes","182 Apirana Avenue","Glen Innes","Auckland","1072","09 528 4885","174.8541052","-36.87562852"
"Supa Value Supermarket-Line Rd","131 Line Road","Glen Innes","Auckland","1072","09 528 0520","174.856512","-36.878383"
"West Tamaki Superette","229 West Tamaki Road","Glen Innes","Auckland","1072","09 575 6530","174.874558","-36.869502"
"Glendene Superette","4343 Great North Road","Glendene","Auckland","0602","09 836 4135","174.6444255","-36.88688469"
"Hepburn Superette","2 Phelps Place","Glendene","Auckland","0602","09 8136999","174.6534481","-36.89277848"
"Sai Superette","2 Barrys Road","Glendene","Auckland","0602","09 838 6596","174.657354","-36.884015"
"Ashby Superette","91 Ashby Avenue","St Heliers","Auckland","1071","09 528 4797","174.8594749","-36.86915024"
"Chartwell Food Centre & Lotto","25F Chartwell Avenue","Glenfield","Auckland","0629","09 443 6018","174.7318462","-36.78369263"
"Chivalry Foodmart","112 Chivalry Road","Glenfield","Auckland","0629","09 444 9433","174.729046","-36.779349"
"Civic Video Glenfield","444 Glenfield Road","Glenfield","Auckland","0629","09 4444739","174.7215872","-36.78074003"
"Coronation Superette","6 Coronation Road","Glenfield","Auckland","0627","09 480 5482","174.7250514","-36.79181424"
"Fresh n Save","75G Porana Road","Hillcrest","Auckland","0627","09 4425628","174.739939","-36.783604"
"Magazine City & Lotto","Cnr Glenfield Rd & Downing St","Glenfield","Auckland","0629","09 4446 775","174.7230852","-36.78315065"
"Manuka Dairy","5 Manuka Road","Glenfield","Auckland","0624","09 443 0039","174.720756","-36.7745"
"Pak n Save Wairau Road","30/60 Wairau Road","Wairau Valley","Auckland","0627","09 441 0190","174.7446074","-36.77828159"
"Pam's Corner Dairy","575 Glenfield Road","Glenfield","Auckland","0629","09 444 7400","174.7221092","-36.7702432"
"View Road Dairy","7/1 View Road","Glenfield","Auckland","0627","09 4414058","174.730113","-36.770411"
"Whitcoulls Glenfield","Cnr Glenfield and Downing St","Glenfield","Auckland","0629","09 984 5412","174.721584","-36.782462"
"Z Glen Park","241 Glenfield Road","Hillcrest","Auckland","0627","09 419 7530","174.724203","-36.794307"
"Everglade Four Square","1/70 Everglade Drive","Goodwood Heights","Auckland","2105","09 263 4188","174.8946296","-36.99827244"
"Auckland Hospital Book & Post Shop","50 Park Road","Grafton","Auckland","1023","09 3757052","174.7701683","-36.86100608"
"Grafton Convenience","71 Park Road","Grafton","Auckland","1023","09 373 4464","174.768631","-36.861074"
"New World Green Bay","64 Godley Road","Green Bay","Auckland","0604","09 827 4070","174.679199","-36.93074077"
"Z Green Bay","82 Godley Road","Green Bay","Auckland","0604","09 827 3297","174.6776626","-36.93120112"
"Greenhithe Store","8 Greenhithe Road","Greenhithe","Auckland","0632","09 413 9505","174.6702474","-36.77579139"
"Countdown Greenlane","326 Great South Road","Greenlane","Auckland","1051","09 255 2381","174.793031","-36.88957159"
"Z Greenlane","128 Greenlane East","Greenlane","Auckland","1051","09 522 2644","174.7959582","-36.88998129"
"Arch Hill Superette","223 Great North Road","Grey Lynn","Auckland","1021","09 360 7350","174.747049","-36.864084"
"Countdown Grey Lynn","271 Richmond Road","Westmere","Auckland","1022","09 255 2451","174.7318878","-36.85436081"
"Grey Lynn Stationers","529 Great North Road","Auckland","Auckland","1021","09 3763599","174.7375793","-36.86556388"
"Neal's Superette","417 Richmond Road","Grey Lynn","Auckland","1021","09 376 4389","174.7308316","-36.85894306"
"Fresh Choice Half Moon Bay","1 Ara-Tai Road","Half Moon Bay","Auckland","2012","09 538 0086","174.8997","-36.881288"
"Video Ezy Pakuranga","44 Fortunes Road","Half Moon Bay","Auckland","2012","09 576 3234","174.899066","-36.899771"
"Ash's Superette","80 Bruce McLaren Road","Henderson","Auckland","0612","09 837 4857","174.6266843","-36.89658834"
"Baba Superette","39 Henderson Valley Road","Henderson","Auckland","0612","09 8388671","174.628098","-36.886085"
"Caltex Lincoln Road","263 Lincoln Road","Henderson","Auckland","0610","09 8371056","174.630311","-36.854576"
"Convenience @ 357","357 Great North Road","Henderson","Auckland","0612","09 836 5992","174.633102","-36.879669"
"Countdown Henderson","7 Catherine Street","Henderson","Auckland","0612","09 255 2477","174.632212","-36.880215"
"Countdown Lincoln Road","185-187 Universal Drive","Henderson","Auckland","0610","09 2559729","174.6305616","-36.857134"
"Fair Price Four Square","264 Swanson Road","Henderson","Auckland","0610","09 835 2400","174.6143913","-36.86361514"
"Henderson Pak N Save","Alderman Drive","Henderson","Auckland","0612","09 837 0221","174.6311618","-36.8782576"
"Hospital Dairy","56 Lincoln Road","Henderson","Auckland","0612","09 838 8558","174.6280892","-36.86937441"
"Lincoln Road Dairy","262 Lincoln Road","Henderson","Auckland","0610","09 837 8596","174.6297166","-36.85513447"
"Meg Star","7 Catherine Street","Henderson","Auckland","0612","09 838 1641","174.6328942","-36.8816578"
"Pak N Save Lincoln Road","202 Lincoln Road","Henderson","Auckland","0610","09 8371830","174.6295342","-36.85793221"
"Palomino Supervalue","4/138 Sturges Road","Henderson","Auckland","0612","09 8372921","174.6154002","-36.88257195"
"Rathgar Road Discount Foodmart","6/126 Rathgar Road","Henderson","Auckland","0610","09 838 8583","174.6215293","-36.86208837"
"Valley Road Superette","239 Henderson Valley Road","Henderson","Auckland","0612","09 835 4272","174.6137079","-36.89724739"
"West City Lotto","221 Catherine Street","Henderson","Auckland","0612","09 978 6757","174.6331016","-36.88057114"
"Z Henderson Valley","1 Corban Avenue","Henderson","Auckland","0612","09 600 0025","174.6216471","-36.8917185"
"Ardmore Dairy","172 Jervois Road","Herne Bay","Auckland","1011","09 376 4602","174.7365119","-36.84552068"
"Jervois Food Market","220 Jervois Road","Herne Bay","Auckland","1011","09 376 3587","174.734982","-36.8456"
"Paper Plus Highland Park","20/503 Pakuranga Road","Bucklands Beach","Auckland","2010","09 534 6190","174.9071464","-36.89804754"
"Sunnybrae Superette","51 Sunnybrae Road","Hillcrest","Auckland","0627","09 443 5061","174.7467508","-36.79130039"
"Waikowhai Superette","421 Hillsborough Road","Mount Roskill","Auckland","1042","09 627 5641","174.738215","-36.930482"
"Countdown Hobsonville","124 Hobsonville Road","Hobsonville","Auckland","0618","09 255 9741","174.646692","-36.798011"
"Hobsonville Four Square","4 Clark Road","Hobsonville","Auckland","0618","09 416 8279","174.6489333","-36.79835585"
"Botany Road Superette","6 Botany Road","Howick","Auckland","2010","09 533 7513","174.919212","-36.899487"
"Countdown Howick","35 Cook Street","Howick","Auckland","2014","09 255 2399","174.9296713","-36.89503888"
"Meadowlands Lotto","112 Whitford Road","Somerville","Auckland","2014","09 535 0377","174.9271055","-36.91366492"
"New World Howick","77 Union Road","Howick","Auckland","2014","09 538 0012","174.925091","-36.903773"
"Sunny Dairy Superette","128 Millhouse Drive","Northpark","Auckland","2013","09 537 5530","174.9177969","-36.91902187"
"Vincent Street Superette","72 Vincent Street","Howick","Auckland","2014","09 534 6662","174.925495","-36.902531"
"Highway Supermart","329A State Highway 16","Huapai","Auckland","0810","09 412 5835","174.5444249","-36.77235311"
"Navya Superette","600 New North Road","Kingsland","Auckland","1021","09 849 2309","174.7367859","-36.87392882"
"Night n Day @ Gull Kingsland","384-392 New North Road","Kingsland","Auckland","1021","09 845 2952","174.748269","-36.8707972"
"Melanesia Foodhall","43 Melanesia Road","Kohimarama","Auckland","1071","09 528 4058","174.8438846","-36.85320913"
"Mairangi Bay Dairy & Lotto","366 Beach Road","Mairangi Bay","Auckland","0630","09 478 6976","174.7534592","-36.73897778"
"Mobil Constellation Drive","48 Constellation Drive","Rosedale","Auckland","0632","09 478 3838","174.7291838","-36.74958356"
"Airport Oaks Pharmacy","149C Kirkbride Road","Mangere","Auckland","2022","09 275 0155","174.7856603","-36.96882926"
"Central Dairy","743 Massey Road","Mangere","Auckland","2022","09 275 9771","174.7970044","-36.97596244"
"Countdown Airport","George Bolt Memorial Drive","Auckland Airport","Auckland","2022","09 255 9697","174.7874461","-36.99725391"
"Favona Foodmarket","113 Favona Road","Favona","Auckland","2024","09 275 5778","174.810851","-36.948727"
"Gadsby Supermarket","141 Gadsby Road","Favona","Auckland","2024","09 255 5990","174.809224","-36.953748"
"Mangere Stationery & Post","93 Bader Drive","Mangere","Auckland","2022","09 275 4560","174.7986961","-36.96884948"
"Orly Ave Superette","49 Orly Avenue","Mangere","Auckland","2022","09 2758841","174.7973831","-36.96996779"
"Pak N Save Mangere","44 Orly Avenue","Mangere","Auckland","2022","09 256 7530","174.7980992","-36.96835769"
"Relay Auckland Domestic","Ray Emery Drive","Auckland Airport","Auckland","2022","09 927 5408","174.7909311","-37.01019824"
"Relay Auckland Int'l Ground","Ray Emery Drive","Auckland Airport","Auckland","2022","09 9275406","174.7780443","-37.01000665"
"Relay Auckland Int'l Level 1","Ray Emery Drive","Auckland Airport","Auckland","2022","09 927 5401","174.782889","-37.005757"
"Rosella Superette","67 Rosella Road","Mangere East","Auckland","2024","09 276 4209","174.8361756","-36.96364399"
"Fresh Choice Mangere Bridge","40 Coronation Road","Mangere Bridge","Auckland","2022","09 636 8424","174.7869477","-36.94274232"
"Mountain Road Pricecutter","90 Mountain Road","Mangere Bridge","Auckland","2022","09 636 8032","174.7852978","-36.95454498"
"Wallace Rd Superette","12 Wallace Road","Mangere Bridge","Auckland","2022","09 636 6794","174.7776777","-36.94428606"
"Ashley Ave Superette","1 Ashley Ave","Mangere East","Auckland","2024","09 275 7823","174.813127","-36.968813"
"Caltex Mangere","2 Savill Drive","Mangere East","Auckland","2024","09 276 4211","174.8334227","-36.95771405"
"Countdown Mangere East","Cnr Massey & Yates Road","Mangere East","Auckland","2024","09 255 9674","174.824193","-36.965759"
"Graeme Ave Superette","2 Graeme Ave","Mangere East","Auckland","2024","09 278 4305","174.834102","-36.972543"
"Kingsford Supermarket","65 Raglan Street","Mangere East","Auckland","2024","09 275 6850","174.8277569","-36.97404498"
"Mangere East Post & More","353 Massey Road","Mangere East","Auckland","2024","09 2754552","174.8249854","-36.96663956"
"McKinstry Superette","1 McKinstry Ave","Mangere East","Auckland","2024","09 215 8810","174.806903","-36.963244"
"Vine Street Supa Discounter","50-52 Vine Street","Mangere East","Auckland","2024","09 276 5782","174.824284","-36.958331"
"Wickman Way Price-Cutter","18 Wickman Way","Mangere East","Auckland","2024","09 275 7046","174.8145868","-36.96275684"
"Countdown Manukau","652 Great South Road","Manukau","Auckland","2104","09 255 2448","174.8822756","-36.9874266"
"Countdown Manukau City Mall","Cnr Grt Sth & Wiri Station Rd","Manukau","Auckland","2104","09 255 2424","174.8843074","-36.99198042"
"Grab n Go","Cnr Grt Sth & Wiri Station Rd","Manukau","Auckland","2104","09 263 6316","174.8842248","-36.99174891"
"Manukau Pak 'N Save","6 Cavendish Drive","Manukau","Auckland","2104","09 263 6888","174.8813272","-36.98697565"
"Alfriston Dairy","49B Claude Road","Manurewa East","Auckland","2102","09 266 8139","174.9038908","-37.02157176"
"Bellbird Dairy & Lotto","244 Great South Road","Manurewa East","Auckland","2102","09 266 8544","174.9008074","-37.02552715"
"Boomerang Superette","67 Churchill Avenue","Manurewa","Auckland","2102","09 266 7333","174.897058","-37.030243"
"Burbank Four Square","57 Burbank Avenue","Manurewa","Auckland","2102","09 267 2084","174.864504","-37.02109"
"Countdown Manurewa","227 Browns Road","Manurewa","Auckland","2102","09 2559725","174.864668","-37.017465"
"Grand Vue Dairy","64 Great South Road","Manurewa","Auckland","2102","09 266 8621","174.89235","-37.013637"
"Hillpark Superette & Lotto","71 Grande Vue Road","Manurewa","Auckland","2102","09 267 6598","174.9004092","-37.0133305"
"Leabank Superette","106 Weymouth Road","Manurewa","Auckland","2102","09 266 9563","174.8876045","-37.0275498"
"Mobil The Gardens","126 Hill Road","The Gardens","Auckland","2105","09 266 3527","174.911587","-37.01262859"
"New World Southmall","187 Great South Road","Manurewa","Auckland","2102","09 266 5151","174.8973642","-37.02258733"
"Palm Superette","226B Russell Road","Manurewa","Auckland","2102","09 268 9613","174.8746517","-37.01493912"
"Roscommon Superette","255 Browns Road","Manurewa","Auckland","2102","09 267 0651","174.8630586","-37.01853971"
"Rowandale Superette","113 Rowandale Avenue","Manurewa","Auckland","2102","09 267 7177","174.8728964","-37.02191915"
"Southmall Lotto Kiosk","187 Great South Road","Manurewa","Auckland","2102","09 2672046","174.8975209","-37.02270816"
"Sunnybrae Dairy & Lotto - Manukau","68 Russell Road","Manurewa","Auckland","2102","09 266 2528","174.886382","-37.022737"
"The Cutting Bar & Lotto Shop","165 Great South Road","Manurewa","Auckland","2102","09 2667776","174.8954859","-37.02083451"
"Z Manurewa","1 Alfriston Road","Manurewa","Auckland","2102","09 267 0967","174.899673","-37.023663"
"Omana View Superette","2 Maraetai School Road","Maraetai","Auckland","2018","09 536 6635","175.0342725","-36.88035084"
"Countdown Westgate","Fernhill Drive","Massey","Auckland","0614","09 255 2479","174.6107745","-36.82198949"
"Lincoln Heights Superette","1 Chorley Avenue","Massey","Auckland","0614","09 833 7370","174.6213781","-36.84717293"
"Lower Don Buck Dairy","9/11 Don Buck Road","Henderson","Auckland","0614","09 832 5613","174.6112887","-36.86001163"
"Massey Amcal Pharmacy","396 Don Buck Road","Massey","Auckland","0614","09 833 7239","174.603201","-36.83445796"
"Royal Heights Dairy & Lotto","11/138 Royal Road","Massey","Auckland","0614","09 832 2770","174.6221316","-36.83321506"
"Countdown North West","1/7 Fred Taylor Drive","Massey","Auckland","0814","09 255 9744","174.610581","-36.818952"
"Westgate Pharmacy","Fernhill Drive","Massey","Auckland","0614","09 831 0256","174.6100404","-36.82174957"
"Z Massey North","State Highway 16 & Asti Lane","Massey","Auckland","0814","09 832 0369","174.6086999","-36.82130081"
"Lakeview Superette","201 Shakespeare Road","Milford","Auckland","0620","09 4894534","174.7541366","-36.78099309"
"Milford Paper Power","194 Kitchener Road","Milford","Auckland","0620","09 489 7353","174.764711","-36.772574"
